Nota1, Nota2, Nota3, Nota4, Promedio
10, 5, 62, 14, 22.75, 
9, 9, 94, 20, 33.0, 
8, 8, 61, 20, 24.25, 
4, 5, 57, 20, 21.5, 
7, 8, 73, 17, 26.25, 
10, 10, 53, 18, 22.75, 
5, 6, 76, 15, 25.5, 
5, 8, 58, 19, 22.5, 
5, 4, 100, 13, 30.5, 
9, 7, 61, 14, 22.75, 
8, 9, 90, 15, 30.5, 
5, 5, 60, 14, 21.0, 
4, 8, 43, 20, 18.75, 
4, 9, 94, 15, 30.5, 
4, 8, 41, 13, 16.5, 
6, 6, 53, 20, 21.25, 
5, 6, 97, 16, 31.0, 
6, 10, 50, 16, 20.5, 
4, 4, 64, 16, 22.0, 
6, 7, 43, 20, 19.0, 
7, 4, 44, 13, 17.0, 
4, 6, 50, 15, 18.75, 
6, 10, 47, 17, 20.0, 
8, 7, 96, 14, 31.25, 
7, 9, 92, 13, 30.25, 
5, 7, 72, 14, 24.5, 
6, 4, 56, 19, 21.25, 
5, 9, 76, 15, 26.25, 
8, 10, 62, 16, 24.0, 
5, 8, 76, 19, 27.0, 
5, 7, 69, 13, 23.5, 
8, 5, 100, 18, 32.75, 
7, 6, 65, 15, 23.25, 
9, 9, 58, 14, 22.5, 
9, 7, 44, 18, 19.5, 
8, 10, 98, 20, 34.0, 
8, 9, 80, 15, 28.0, 
7, 5, 84, 18, 28.5, 
8, 8, 91, 13, 30.0, 
6, 5, 49, 17, 19.25, 
8, 6, 99, 18, 32.75, 
6, 10, 74, 16, 26.5, 
7, 7, 69, 20, 25.75, 
5, 9, 77, 16, 26.75, 
8, 5, 49, 19, 20.25, 
4, 10, 77, 17, 27.0, 
7, 7, 67, 16, 24.25, 
6, 9, 69, 14, 24.5, 
7, 10, 69, 15, 25.25, 
8, 4, 94, 20, 31.5, 
9, 8, 69, 20, 26.5, 
4, 10, 90, 15, 29.75, 
8, 4, 87, 18, 29.25, 
4, 10, 41, 15, 17.5, 
8, 6, 61, 17, 23.0, 
9, 5, 61, 14, 22.25, 
8, 10, 63, 19, 25.0, 
4, 6, 100, 15, 31.25, 
10, 7, 40, 15, 18.0, 
4, 5, 47, 16, 18.0, 
4, 6, 96, 13, 29.75, 
7, 6, 64, 15, 23.0, 
7, 4, 66, 14, 22.75, 
7, 10, 49, 18, 21.0, 
7, 6, 52, 17, 20.5, 
6, 6, 44, 15, 17.75, 
5, 6, 79, 13, 25.75, 
6, 9, 52, 20, 21.75, 
9, 5, 52, 14, 20.0, 
10, 9, 49, 16, 21.0, 
4, 7, 67, 16, 23.5, 
4, 9, 68, 19, 25.0, 
8, 5, 99, 19, 32.75, 
10, 5, 78, 15, 27.0, 
7, 4, 76, 20, 26.75, 
7, 7, 57, 13, 21.0, 
8, 6, 65, 19, 24.5, 
7, 7, 90, 14, 29.5, 
10, 4, 50, 19, 20.75, 
6, 6, 100, 18, 32.5, 
5, 7, 83, 17, 28.0, 
8, 6, 95, 17, 31.5, 
9, 9, 84, 14, 29.0, 
5, 6, 40, 15, 16.5, 
5, 6, 60, 16, 21.75, 
4, 9, 92, 17, 30.5, 
7, 7, 96, 18, 32.0, 
10, 6, 80, 20, 29.0, 
4, 8, 90, 15, 29.25, 
8, 4, 71, 17, 25.0, 
7, 8, 87, 20, 30.5, 
7, 4, 69, 14, 23.5, 
5, 6, 50, 20, 20.25, 
4, 7, 82, 17, 27.5, 
9, 10, 55, 17, 22.75, 
8, 6, 83, 13, 27.5, 
7, 7, 51, 13, 19.5, 
7, 5, 43, 13, 17.0, 
7, 5, 82, 14, 27.0, 
5, 6, 86, 15, 28.0, 
7, 8, 67, 16, 24.5, 
10, 6, 80, 16, 28.0, 
7, 9, 78, 20, 28.5, 
7, 8, 73, 19, 26.75, 
4, 6, 80, 16, 26.5, 
6, 4, 50, 20, 20.0, 
6, 4, 87, 18, 28.75, 
5, 8, 64, 20, 24.25, 
5, 9, 60, 19, 23.25, 
8, 10, 89, 20, 31.75, 
8, 7, 56, 14, 21.25, 
8, 4, 82, 17, 27.75, 
9, 9, 42, 15, 18.75, 
9, 5, 71, 15, 25.0, 
4, 5, 88, 20, 29.25, 
8, 4, 74, 19, 26.25, 
10, 5, 74, 13, 25.5, 
9, 7, 46, 14, 19.0, 
6, 10, 62, 15, 23.25, 
4, 7, 61, 16, 22.0, 
6, 10, 75, 13, 26.0, 
6, 9, 84, 18, 29.25, 
9, 5, 54, 15, 20.75, 
9, 7, 45, 19, 20.0, 
7, 10, 81, 18, 29.0, 
5, 8, 52, 16, 20.25, 
10, 4, 84, 18, 29.0, 
7, 7, 69, 19, 25.5, 
8, 10, 46, 14, 19.5, 
4, 4, 48, 15, 17.75, 
10, 4, 51, 13, 19.5, 
8, 5, 100, 18, 32.75, 
10, 6, 74, 17, 26.75, 
10, 4, 69, 20, 25.75, 
4, 8, 77, 17, 26.5, 
6, 7, 72, 13, 24.5, 
7, 7, 48, 18, 20.0, 
8, 10, 42, 19, 19.75, 
10, 9, 85, 14, 29.5, 
5, 9, 89, 14, 29.25, 
4, 4, 45, 20, 18.25, 
9, 5, 70, 18, 25.5, 
7, 6, 100, 18, 32.75, 
8, 8, 60, 14, 22.5, 
5, 4, 61, 18, 22.0, 
6, 6, 82, 18, 28.0, 
4, 5, 56, 19, 21.0, 
6, 4, 72, 17, 24.75, 
9, 5, 55, 19, 22.0, 
8, 4, 92, 14, 29.5, 
7, 4, 61, 18, 22.5, 
8, 8, 48, 18, 20.5, 
4, 4, 85, 16, 27.25, 
9, 9, 64, 18, 25.0, 
9, 5, 82, 13, 27.25, 
4, 4, 67, 13, 22.0, 
7, 10, 49, 14, 20.0, 
9, 4, 77, 17, 26.75, 
9, 6, 49, 17, 20.25, 
10, 6, 63, 13, 23.0, 
6, 6, 82, 15, 27.25, 
10, 7, 53, 20, 22.5, 
10, 5, 53, 20, 22.0, 
10, 6, 43, 14, 18.25, 
7, 8, 80, 20, 28.75, 
6, 9, 84, 20, 29.75, 
9, 6, 47, 15, 19.25, 
4, 7, 70, 19, 25.0, 
8, 10, 100, 13, 32.75, 
8, 10, 93, 20, 32.75, 
9, 6, 41, 20, 19.0, 
7, 8, 96, 14, 31.25, 
8, 7, 74, 14, 25.75, 
10, 4, 61, 18, 23.25, 
4, 10, 71, 16, 25.25, 
5, 4, 77, 13, 24.75, 
9, 5, 51, 17, 20.5, 
5, 6, 81, 14, 26.5, 
7, 10, 61, 15, 23.25, 
5, 9, 81, 17, 28.0, 
9, 8, 71, 13, 25.25, 
7, 6, 88, 17, 29.5, 
6, 6, 67, 13, 23.0, 
6, 6, 43, 18, 18.25, 
4, 7, 79, 16, 26.5, 
7, 10, 41, 19, 19.25, 
4, 7, 44, 16, 17.75, 
7, 8, 45, 13, 18.25, 
9, 4, 82, 19, 28.5, 
10, 10, 58, 13, 22.75, 
9, 9, 42, 20, 20.0, 
10, 6, 58, 17, 22.75, 
10, 10, 57, 16, 23.25, 
6, 9, 96, 18, 32.25, 
5, 6, 65, 20, 24.0, 
7, 7, 69, 14, 24.25, 
8, 9, 78, 17, 28.0, 
9, 9, 94, 13, 31.25, 
6, 9, 75, 20, 27.5, 
4, 7, 60, 18, 22.25, 
10, 4, 51, 15, 20.0, 
5, 8, 93, 16, 30.5, 
10, 8, 86, 15, 29.75, 
9, 9, 71, 15, 26.0, 
4, 8, 98, 14, 31.0, 
10, 4, 50, 14, 19.5, 
9, 6, 95, 20, 32.5, 
9, 9, 41, 18, 19.25, 
10, 5, 69, 17, 25.25, 
6, 6, 73, 15, 25.0, 
10, 10, 72, 16, 27.0, 
7, 7, 82, 16, 28.0, 
5, 5, 82, 19, 27.75, 
8, 8, 49, 13, 19.5, 
9, 7, 89, 15, 30.0, 
5, 5, 95, 13, 29.5, 
6, 4, 78, 16, 26.0, 
5, 6, 55, 16, 20.5, 
8, 10, 44, 15, 19.25, 
10, 9, 43, 15, 19.25, 
8, 7, 43, 16, 18.5, 
8, 4, 93, 14, 29.75, 
5, 8, 64, 18, 23.75, 
6, 8, 64, 19, 24.25, 
8, 5, 48, 19, 20.0, 
